Feature,Importance
ph,0.13543193905878675
Sulfate,0.12377650566270067
Solids,0.11734289245845275
Hardness,0.11206131035539861
Chloramines,0.10992176006789785
Organic_carbon,0.10150851573984773
Conductivity,0.10073971207427343
Turbidity,0.1002825596685406
Trihalomethanes,0.09893480491410166
